,Unnamed: 0,date,song_ranking,song_name,song_artist,peakPos,lastPos,weeks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalnes,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_id,artist_genres,artist_followers,artist_popularity
22067,67,2018-05-01,68,One Number Away,Luke Combs,67,70,6,0.544,0.7809999999999999,6.0,-6.16,0.0,0.0311,0.00585,0.0,0.191,0.527,144.075,audio_features,4gB7HrYHbJVJ5RFOjxmoq4,spotify:track:4gB7HrYHbJVJ5RFOjxmoq4,https://api.spotify.com/v1/tracks/4gB7HrYHbJVJ5RFOjxmoq4,https://api.spotify.com/v1/audio-analysis/4gB7HrYHbJVJ5RFOjxmoq4,221800.0,4.0,,,,
22068,68,2018-05-01,69,Outside Today,YoungBoy Never Broke Again,31,58,15,0.851,0.6659999999999999,11.0,-5.334,0.0,0.0694,0.139,0.0,0.105,0.0585,134.06799999999998,audio_features,3sA7HKGzcKTVscdiTCrWpX,spotify:track:3sA7HKGzcKTVscdiTCrWpX,https://api.spotify.com/v1/tracks/3sA7HKGzcKTVscdiTCrWpX,https://api.spotify.com/v1/audio-analysis/3sA7HKGzcKTVscdiTCrWpX,129105.0,4.0,,,,
22069,69,2018-05-01,70,I Do,Cardi B Featuring SZA,23,42,3,0.8859999999999999,0.473,7.0,-7.337999999999999,0.0,0.255,0.27,2.58e-05,0.0864,0.43799999999999994,135.065,audio_features,1f5PNhkNgUpvDEeZfcIlO1,spotify:track:1f5PNhkNgUpvDEeZfcIlO1,https://api.spotify.com/v1/tracks/1f5PNhkNgUpvDEeZfcIlO1,https://api.spotify.com/v1/audio-analysis/1f5PNhkNgUpvDEeZfcIlO1,200205.0,4.0,,,,
22070,70,2018-05-01,71,Ring,Cardi B Featuring Kehlani,28,44,3,0.767,0.5429999999999999,1.0,-7.881,0.0,0.10300000000000001,0.049,0.0,0.115,0.485,106.029,audio_features,5DfWF0jqMgZDCiu9zJENTA,spotify:track:5DfWF0jqMgZDCiu9zJENTA,https://api.spotify.com/v1/tracks/5DfWF0jqMgZDCiu9zJENTA,https://api.spotify.com/v1/audio-analysis/5DfWF0jqMgZDCiu9zJENTA,177140.0,4.0,,,,
22071,71,2018-05-01,72,Babe,Sugarland Featuring Taylor Swift,72,0,1,0.535,0.777,4.0,-3.292,1.0,0.207,0.0187,1.62e-06,0.136,0.664,171.72,audio_features,7fRruZ12gXGwBs0zXQ6e5V,spotify:track:7fRruZ12gXGwBs0zXQ6e5V,https://api.spotify.com/v1/tracks/7fRruZ12gXGwBs0zXQ6e5V,https://api.spotify.com/v1/audio-analysis/7fRruZ12gXGwBs0zXQ6e5V,215107.0,4.0,,,,
22072,72,2018-05-01,73,IDGAF,Dua Lipa,54,60,15,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.02799999999999,audio_features,76cy1WJvNGJTj78UqeA5zr,spotify:track:76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr,217947.0,4.0,,,,
22073,73,2018-05-01,74,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",74,0,1,0.904,0.6509999999999999,11.0,-3.785,0.0,0.18600000000000003,0.36700000000000005,0.00011200000000000001,0.0518,0.371,96.54,audio_features,5qaTxvR8tsEfivYI4lK3rh,spotify:track:5qaTxvR8tsEfivYI4lK3rh,https://api.spotify.com/v1/tracks/5qaTxvR8tsEfivYI4lK3rh,https://api.spotify.com/v1/audio-analysis/5qaTxvR8tsEfivYI4lK3rh,413680.0,4.0,,,,
22074,74,2018-05-01,75,Dura,Daddy Yankee,50,72,12,0.7829999999999999,0.84,1.0,-3.4160000000000004,1.0,0.051,0.174,0.0,0.41200000000000003,0.838,95.00200000000001,audio_features,2Mpo8kOO7sMV6DOgaEASJn,spotify:track:2Mpo8kOO7sMV6DOgaEASJn,https://api.spotify.com/v1/tracks/2Mpo8kOO7sMV6DOgaEASJn,https://api.spotify.com/v1/audio-analysis/2Mpo8kOO7sMV6DOgaEASJn,200480.0,4.0,,,,
22075,75,2018-05-01,76,Zombie,Bad Wolves,54,74,7,0.44799999999999995,0.826,2.0,-3.2439999999999998,0.0,0.0319,0.007559999999999999,0.0,0.11699999999999999,0.19,77.093,audio_features,1vNoA9F5ASnlBISFekDmg3,spotify:track:1vNoA9F5ASnlBISFekDmg3,https://api.spotify.com/v1/tracks/1vNoA9F5ASnlBISFekDmg3,https://api.spotify.com/v1/audio-analysis/1vNoA9F5ASnlBISFekDmg3,254805.0,4.0,,,,
22076,76,2018-05-01,77,I Like Me Better,Lauv,73,79,11,0.752,0.505,9.0,-7.621,1.0,0.253,0.535,2.55e-06,0.10400000000000001,0.419,91.97,audio_features,2P91MQbaiQOfbiz9VqhqKQ,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,https://api.spotify.com/v1/tracks/2P91MQbaiQOfbiz9VqhqKQ,https://api.spotify.com/v1/audio-analysis/2P91MQbaiQOfbiz9VqhqKQ,197437.0,4.0,,,,
22077,77,2018-05-01,78,Barbie Tingz,Nicki Minaj,25,25,3,0.917,0.679,6.0,-6.082999999999999,1.0,0.266,0.0867,0.0,0.588,0.45299999999999996,102.449,audio_features,2qsQ8eVDPmobZpvDxQCVQu,spotify:track:2qsQ8eVDPmobZpvDxQCVQu,https://api.spotify.com/v1/tracks/2qsQ8eVDPmobZpvDxQCVQu,https://api.spotify.com/v1/audio-analysis/2qsQ8eVDPmobZpvDxQCVQu,191700.0,4.0,,,,
22078,78,2018-05-01,79,Sit Next To Me,Foster The People,72,80,6,0.638,0.738,6.0,-4.976,0.0,0.0292,0.11699999999999999,0.000384,0.6890000000000001,0.657,97.021,audio_features,4BdGO1CaObRD4La9l5Zanz,spotify:track:4BdGO1CaObRD4La9l5Zanz,https://api.spotify.com/v1/tracks/4BdGO1CaObRD4La9l5Zanz,https://api.spotify.com/v1/audio-analysis/4BdGO1CaObRD4La9l5Zanz,243147.0,4.0,,,,
22079,79,2018-05-01,80,I Lived It,Blake Shelton,66,66,8,0.557,0.5710000000000001,10.0,-8.106,1.0,0.0281,0.47600000000000003,0.00114,0.10099999999999999,0.392,80.98100000000001,audio_features,5slddJ629YcePvqD6Uyk8r,spotify:track:5slddJ629YcePvqD6Uyk8r,https://api.spotify.com/v1/tracks/5slddJ629YcePvqD6Uyk8r,https://api.spotify.com/v1/audio-analysis/5slddJ629YcePvqD6Uyk8r,219600.0,4.0,,,,
